key,data_str,decimals,precision,context_ref,element_name,unit,period_type,isTextBlock_flg,abstract_flg,period_start,period_end,instant_date,end_date_pv,instant_date_pv,scenario
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,,,,Prior1YearDuration,DilutedEarningsPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,,,,CurrentYearDuration,DilutedEarningsPerShareSummaryOfBusinessResults,JPYPerShares,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,0.541,3,,Prior5YearInstant,EquityToAssetRatioSummaryOfBusinessResults,pure,instant,0,0,,2019-07-01,2019-07-01,,2019-06-30,
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,0.549,3,,Prior4YearInstant,EquityToAssetRatioSummaryOfBusinessResults,pure,instant,0,0,,2020-07-01,2020-07-01,,2020-06-30,
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,0.504,3,,Prior3YearInstant,EquityToAssetRatioSummaryOfBusinessResults,pure,instant,0,0,,2021-07-01,2021-07-01,,2021-06-30,
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,0.518,3,,Prior2YearInstant,EquityToAssetRatioSummaryOfBusinessResults,pure,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,0.509,3,,Prior1YearInstant,EquityToAssetRatioSummaryOfBusinessResults,pure,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,0.470,3,,CurrentYearInstant,EquityToAssetRatioSummaryOfBusinessResults,pure,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,0.0304,4,,Prior5YearDuration,RateOfReturnOnEquitySummaryOfBusinessResults,pure,duration,0,0,2018-07-01,2019-07-01,,2019-06-30,,
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,0.0520,4,,Prior4YearDuration,RateOfReturnOnEquitySummaryOfBusinessResults,pure,duration,0,0,2019-07-01,2020-07-01,,2020-06-30,,
